Cumulative_number_for_14_days_of_COVID-19_cases_per_100000;cases;continentExp;countriesAndTerritories;countryterritoryCode;dateRep;day;deaths;geoId;month;popData2019;year
901377925;746;Asia;Afghanistan;AFG;14/12/2020;14;6;AF;12;38041757;2020
705277624;298;Asia;Afghanistan;AFG;13/12/2020;13;9;AF;12;38041757;2020
686876792;113;Asia;Afghanistan;AFG;12/12/2020;12;11;AF;12;38041757;2020
713426564;63;Asia;Afghanistan;AFG;11/12/2020;11;10;AF;12;38041757;2020
696865815;202;Asia;Afghanistan;AFG;10/12/2020;10;16;AF;12;38041757;2020
696340077;135;Asia;Afghanistan;AFG;9/12/2020;9;13;AF;12;38041757;2020
709483529;200;Asia;Afghanistan;AFG;8/12/2020;8;6;AF;12;38041757;2020
721575505;210;Asia;Afghanistan;AFG;7/12/2020;7;26;AF;12;38041757;2020
732616004;234;Asia;Afghanistan;AFG;6/12/2020;6;10;AF;12;38041757;2020
711586481;235;Asia;Afghanistan;AFG;5/12/2020;5;18;AF;12;38041757;2020
710797874;119;Asia;Afghanistan;AFG;4/12/2020;4;5;AF;12;38041757;2020
753645527;202;Asia;Afghanistan;AFG;3/12/2020;3;19;AF;12;38041757;2020
700545982;400;Asia;Afghanistan;AFG;2/12/2020;2;48;AF;12;38041757;2020
696077208;272;Asia;Afghanistan;AFG;1/12/2020;1;11;AF;12;38041757;2020
641663317;0;Asia;Afghanistan;AFG;30/11/2020;30;0;AF;11;38041757;2020
68451097;228;Asia;Afghanistan;AFG;29/11/2020;29;11;AF;11;38041757;2020
678464983;214;Asia;Afghanistan;AFG;28/11/2020;28;15;AF;11;38041757;2020
639560365;0;Asia;Afghanistan;AFG;27/11/2020;27;0;AF;11;38041757;2020
734193218;200;Asia;Afghanistan;AFG;26/11/2020;26;12;AF;11;38041757;2020
71999829;185;Asia;Afghanistan;AFG;25/11/2020;25;13;AF;11;38041757;2020
671367519;246;Asia;Afghanistan;AFG;24/11/2020;24;17;AF;11;38041757;2020
6655844;252;Asia;Afghanistan;AFG;23/11/2020;23;8;AF;11;38041757;2020
620370926;154;Asia;Afghanistan;AFG;22/11/2020;22;12;AF;11;38041757;2020
613010593;232;Asia;Afghanistan;AFG;21/11/2020;21;25;AF;11;38041757;2020
56727138;282;Asia;Afghanistan;AFG;20/11/2020;20;5;AF;11;38041757;2020
503657073;0;Asia;Afghanistan;AFG;19/11/2020;19;0;AF;11;38041757;2020
535464227;383;Asia;Afghanistan;AFG;18/11/2020;18;13;AF;11;38041757;2020
457392123;65;Asia;Afghanistan;AFG;17/11/2020;17;6;AF;11;38041757;2020
465278194;163;Asia;Afghanistan;AFG;16/11/2020;16;9;AF;11;38041757;2020
457129254;205;Asia;Afghanistan;AFG;15/11/2020;15;12;AF;11;38041757;2020
423219148;66;Asia;Afghanistan;AFG;14/11/2020;14;10;AF;11;38041757;2020
447140231;360;Asia;Afghanistan;AFG;13/11/2020;13;14;AF;11;38041757;2020
384840269;146;Asia;Afghanistan;AFG;12/11/2020;12;4;AF;11;38041757;2020
34646139;0;Asia;Afghanistan;AFG;11/11/2020;11;0;AF;11;38041757;2020
376165591;224;Asia;Afghanistan;AFG;10/11/2020;10;12;AF;11;38041757;2020
369593865;80;Asia;Afghanistan;AFG;9/11/2020;9;3;AF;11;38041757;2020
